age,age_bin,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,noadditionallines,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration,churn
12,0-19,168147,0.06,0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,\N,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,5971,663,0
12,0-19,168147,0.06,0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,\N,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,3981,995,0
42,40-59,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,\N,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,7379,737,0
42,40-59,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,\N,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,1729,432,0
58,40-59,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,\N,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,3122,624,0
58,40-59,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,\N,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,2769,553,0
20,20-39,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,\N,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,834,834,0
20,20-39,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,\N,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,5868,838,0
36,20-39,136006,0.07,0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,\N,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,1886,628,0
36,20-39,136006,0.07,0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,\N,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,2602,867,0
67,60-79,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,\N,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,2737,391,0
67,60-79,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,\N,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,5845,835,0
14,0-19,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,\N,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,3342,557,0
14,0-19,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,\N,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,2428,809,0
45,40-59,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,\N,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,2446,815,0
45,40-59,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,\N,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,4882,813,0
61,60-79,103864,0.07,0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2065,516,0
61,60-79,103864,0.07,0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,2802,560,0
61,60-79,103864,0.07,0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,\N,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,268,268,0
23,20-39,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3022,755,1
23,20-39,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,3076,615,1
23,20-39,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,\N,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,626,626,1
39,20-59,212794,0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,\N,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3968,661,0
39,20-59,212794,0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,\N,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,3685,737,0
69,60-79,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1392,696,0
69,60-79,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,1456,485,0
69,60-79,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,\N,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,378,378,0
17,0-19,71723,0,0,4251047310,13,Yes,High School or below,Male,No,Married,103,\N,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,6780,968,0
17,0-19,71723,0,0,4251047310,13,Yes,High School or below,Male,No,Married,103,\N,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,2277,1138,0
48,40-59,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,\N,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,3877,775,0
48,40-59,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,\N,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,2675,1337,0
64,60-79,180652,0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,\N,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,3624,604,0
64,60-79,180652,0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,\N,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,825,412,0
26,20-39,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,3595,599,0
26,20-39,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1890,472,0
26,20-39,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,\N,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,1248,1248,0
42,40-59,39582,0,0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,\N,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3716,929,0
42,40-59,39582,0,0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,\N,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,3966,661,0
72,60-79,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,\N,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,3646,607,0
72,60-79,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,\N,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,4605,767,0
20,20-39,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,\N,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,6031,861,0
20,20-39,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,\N,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,3828,765,0
50,40-59,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,\N,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,1922,961,0
50,40-59,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,\N,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,2659,886,0
66,60-79,7441,0.01,0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,\N,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,4680,936,0
66,60-79,7441,0.01,0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,\N,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,2918,729,0
29,20-39,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,4746,527,0
29,20-39,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,5287,881,0
29,20-39,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,\N,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,995,497,0
